typeofaction	sourceid	destinationid	amountofmoney	date	isfraud	typeoffraud
cash-in	92735	94635	306536	20-03-2019 12:07	1	type1
cash-in	92735	11443	306536	12-05-2019 13:30	1	type1
cash-in	92735	82726	306536	30-03-2019 12:56	1	type1
cash-in	92735	78865	306536	05-07-2019 11:54	1	type1
cash-in	92735	93295	306536	08-04-2019 08:15	1	type1
cash-in	92735	23512	306536	15-03-2019 15:38	1	type1
cash-in	92735	62065	306536	15-04-2019 12:53	1	type1
cash-in	92735	63711	306536	25-02-2019 11:51	1	type1
cash-in	92735	34121	306536	25-06-2019 15:13	1	type1
cash-in	92735	53801	306536	20-06-2019 12:38	1	type1
cash-in	92735	41429	306536	03-03-2019 12:11	1	type1
cash-in	92735	12806	306537	12-05-2019 08:09	1	type1
cash-in	92735	58732	306537	14-07-2019 09:57	1	type1
cash-in	92735	9507	306537	23-03-2019 08:57	1	type1
cash-in	92735	61512	306537	10-04-2019 09:21	1	type1
cash-in	92735	87991	306537	24-04-2019 12:08	1	type1
cash-in	92735	83840	306537	10-07-2019 12:19	1	type1
cash-in	92735	30584	306537	04-03-2019 13:14	1	type1
cash-in	92735	17423	306537	25-02-2019 09:06	1	type1
cash-in	92735	44570	306537	01-07-2019 15:24	1	type1
cash-in	1615	72623	639229	18-07-2019 10:54	1	type1
cash-in	1615	6322	639229	25-04-2019 11:17	1	type1
cash-in	1615	19592	639229	09-03-2019 13:25	1	type1
cash-in	1615	21254	639230	23-04-2019 13:29	1	type1
cash-in	1615	54400	639230	30-05-2019 12:44	1	type1
cash-in	1615	8552	639230	05-03-2019 15:25	1	type1
cash-in	1615	80966	639230	20-05-2019 12:29	1	type1
cash-in	1615	46860	639230	14-05-2019 14:17	1	type1
cash-in	1615	7203	639230	29-03-2019 13:15	1	type1
cash-in	1615	11667	639230	13-05-2019 10:34	1	type1
cash-in	1615	6054	639230	26-05-2019 15:33	1	type1
cash-in	1615	37081	639230	18-03-2019 12:46	1	type1
cash-in	1615	33284	639230	16-04-2019 14:32	1	type1
cash-in	1615	3335	639230	04-07-2019 15:30	1	type1
cash-in	4161	7806	249081	15-06-2019 12:36	1	type1
cash-in	4161	93672	249081	14-03-2019 12:30	1	type1
cash-in	4161	75260	249081	28-03-2019 09:03	1	type1
cash-in	4161	52002	249081	21-03-2019 11:11	1	type1
cash-in	4161	50023	249081	04-06-2019 08:29	1	type1
cash-in	4161	7038	249081	16-06-2019 10:10	1	type1
cash-in	4161	32828	249081	23-05-2019 12:40	1	type1
cash-in	4161	99617	249081	15-05-2019 08:27	1	type1
cash-in	4161	34858	249081	19-06-2019 09:13	1	type1
cash-in	4161	28744	249081	21-02-2019 12:14	1	type1
cash-in	4161	43619	249081	03-05-2019 13:21	1	type1
cash-in	4161	96342	249082	06-03-2019 13:59	1	type1
cash-in	4161	27404	249082	31-05-2019 14:39	1	type1
cash-in	4161	1599	249082	15-06-2019 11:02	1	type1
cash-in	4161	98501	249082	26-04-2019 14:40	1	type1
cash-in	4161	94376	249082	03-03-2019 08:06	1	type1
cash-in	4161	44546	249082	18-06-2019 12:25	1	type1
cash-in	4161	6724	249082	22-06-2019 13:58	1	type1
cash-in	4161	10834	249082	14-06-2019 13:33	1	type1
cash-in	4161	88949	249082	05-03-2019 15:22	1	type1
cash-in	4161	54547	249082	21-05-2019 13:15	1	type1
cash-in	4161	76270	249082	10-03-2019 08:46	1	type1
cash-in	4161	64321	249082	26-04-2019 11:19	1	type1
cash-in	4161	73770	249082	16-06-2019 14:15	1	type1
cash-in	4161	39477	249082	26-03-2019 10:08	1	type1
cash-in	4161	29501	249082	11-06-2019 09:09	1	type1
cash-in	4161	2174	249082	03-05-2019 13:25	1	type1
cash-in	4161	83480	249082	25-05-2019 12:15	1	type1
cash-in	4161	49193	249082	23-02-2019 13:23	1	type1
cash-in	33203	7242	882647	14-03-2019 10:24	1	type1
cash-in	33203	784	882647	26-05-2019 11:10	1	type1
cash-in	33203	65196	882647	06-07-2019 09:36	1	type1
cash-in	33203	80364	882647	26-02-2019 15:14	1	type1
cash-in	33203	8056	882647	02-07-2019 12:53	1	type1
cash-in	33203	69621	882647	07-05-2019 13:58	1	type1
cash-in	33203	97479	882648	04-06-2019 15:08	1	type1
cash-in	33203	34537	882648	11-06-2019 14:44	1	type1
cash-in	33203	15088	882648	17-07-2019 11:31	1	type1
cash-in	41969	65969	1835026	26-03-2019 12:37	1	type1
cash-in	41969	13881	1835026	26-02-2019 14:29	1	type1
cash-in	41969	76026	1835027	05-07-2019 09:53	1	type1
cash-in	41969	92875	1835027	26-04-2019 14:31	1	type1
cash-in	41969	69841	1835027	09-07-2019 14:27	1	type1
cash-in	37177	21392	362164	09-03-2019 12:03	1	type1
cash-in	37177	90607	362164	19-05-2019 08:37	1	type1
cash-in	37177	88400	362164	14-06-2019 10:31	1	type1
cash-in	37177	70964	362164	16-07-2019 13:13	1	type1
cash-in	37177	63029	362164	15-04-2019 12:00	1	type1
cash-in	37177	80337	362164	15-03-2019 13:43	1	type1
cash-in	37177	14656	362164	26-05-2019 13:50	1	type1
cash-in	37177	89730	362164	11-07-2019 09:22	1	type1
cash-in	37177	93055	362164	20-04-2019 13:19	1	type1
cash-in	37177	68699	362164	15-03-2019 12:50	1	type1
cash-in	37177	68229	362164	12-04-2019 14:04	1	type1
cash-in	37177	13407	362164	06-05-2019 10:43	1	type1
cash-in	37177	887	362164	22-06-2019 15:41	1	type1
cash-in	37177	48011	362164	21-05-2019 10:25	1	type1
cash-in	37177	3092	362164	11-04-2019 13:18	1	type1
cash-in	37177	57772	362164	03-03-2019 12:57	1	type1
cash-in	37177	31269	362164	05-07-2019 11:30	1	type1
cash-in	37177	69355	362164	13-06-2019 12:34	1	type1
cash-in	37177	9363	362164	02-03-2019 10:13	1	type1
cash-in	37177	30714	362164	06-07-2019 10:29	1	type1
cash-in	37177	39631	362164	23-02-2019 09:54	1	type1
cash-in	37177	33994	362164	10-07-2019 15:04	1	type1
cash-in	37177	96016	362164	17-03-2019 11:53	1	type1
cash-in	37177	67648	362164	30-03-2019 13:38	1	type1
cash-in	31439	89434	554345	11-06-2019 11:22	1	type1
cash-in	31439	90146	554345	28-04-2019 08:03	1	type1
cash-in	31439	8611	554345	03-04-2019 09:39	1	type1
cash-in	31439	3183	554345	22-05-2019 08:33	1	type1
cash-in	31439	18533	554345	03-07-2019 13:00	1	type1
cash-in	31439	6470	554345	30-04-2019 13:51	1	type1
cash-in	31439	27405	554345	01-07-2019 14:49	1	type1
cash-in	31439	97140	554345	02-05-2019 10:37	1	type1
cash-in	31439	58911	554346	07-05-2019 15:56	1	type1
cash-in	31439	20213	554346	24-05-2019 13:06	1	type1
cash-in	31439	17450	554346	14-04-2019 13:51	1	type1
cash-in	31439	63072	554346	28-02-2019 15:48	1	type1
cash-in	31439	84089	554346	19-04-2019 12:58	1	type1
cash-in	31439	42081	554346	27-02-2019 13:07	1	type1
cash-in	84352	79147	640046	13-06-2019 09:54	1	type1
cash-in	84352	80053	640046	21-02-2019 08:30	1	type1
cash-in	84352	61309	640047	19-04-2019 10:45	1	type1
cash-in	84352	54502	640047	05-06-2019 10:09	1	type1
cash-in	84352	94793	640047	19-06-2019 09:11	1	type1
cash-in	84352	24728	640047	13-03-2019 09:45	1	type1
cash-in	84352	36919	640047	28-06-2019 09:20	1	type1
cash-in	84352	46738	640047	14-06-2019 09:13	1	type1
cash-in	84352	62404	640047	08-04-2019 15:36	1	type1
cash-in	84352	49860	640047	15-07-2019 15:00	1	type1
cash-in	84352	9117	640047	06-06-2019 08:18	1	type1
cash-in	95615	43405	708894	29-04-2019 08:54	1	type1
cash-in	95615	97885	708894	06-03-2019 10:57	1	type1
cash-in	95615	15768	708894	29-05-2019 14:24	1	type1
cash-in	95615	13218	708894	10-03-2019 12:09	1	type1
cash-in	95615	93239	708894	30-05-2019 13:15	1	type1
cash-in	95615	20217	708895	16-03-2019 15:01	1	type1
cash-in	95615	13591	708895	28-06-2019 14:12	1	type1
cash-in	95615	65665	708895	21-02-2019 13:04	1	type1
cash-in	95615	27376	708895	23-03-2019 13:58	1	type1
cash-in	95615	1638	708895	26-04-2019 11:53	1	type1
cash-in	95615	35853	708895	10-06-2019 13:31	1	type1
cash-in	95615	70742	708895	19-03-2019 11:54	1	type1
cash-in	41220	39061	1769355	24-06-2019 14:07	1	type1
cash-in	41220	48727	1769355	22-04-2019 13:08	1	type1
cash-in	41220	21809	1769355	03-04-2019 14:12	1	type1
cash-in	41220	26639	1769356	03-06-2019 10:35	1	type1
cash-in	39284	62427	274171	08-06-2019 08:35	1	type1
cash-in	39284	87467	274171	22-03-2019 12:24	1	type1
cash-in	39284	53948	274171	20-05-2019 10:31	1	type1
cash-in	39284	5032	274171	10-06-2019 08:50	1	type1
cash-in	39284	68774	274171	11-06-2019 09:39	1	type1
cash-in	39284	40321	274171	25-03-2019 11:15	1	type1
cash-in	39284	95596	274171	17-06-2019 08:56	1	type1
cash-in	39284	2955	274171	24-06-2019 12:30	1	type1
cash-in	39284	91794	274171	09-07-2019 08:05	1	type1
cash-in	39284	45479	274171	25-06-2019 09:17	1	type1
cash-in	39284	63272	274171	09-03-2019 15:45	1	type1
cash-in	39284	67144	274171	04-07-2019 09:31	1	type1
cash-in	39284	7228	274171	06-05-2019 12:59	1	type1
cash-in	39284	47704	274171	23-06-2019 15:43	1	type1
cash-in	39284	74691	274171	18-06-2019 10:32	1	type1
cash-in	39284	4429	274171	03-07-2019 14:11	1	type1
cash-in	39284	13670	274171	01-07-2019 11:54	1	type1
cash-in	39284	85867	274171	12-07-2019 14:38	1	type1
cash-in	39284	18192	274171	07-06-2019 11:16	1	type1
cash-in	39284	28414	274171	19-07-2019 10:59	1	type1
cash-in	39284	55092	274171	22-03-2019 11:36	1	type1
cash-in	39284	4394	274171	30-03-2019 08:16	1	type1
cash-in	39284	74901	274171	23-06-2019 11:35	1	type1
cash-in	39284	2683	274171	28-06-2019 12:27	1	type1
cash-in	39284	87826	274171	21-02-2019 11:08	1	type1
cash-in	39284	13963	274171	06-03-2019 15:23	1	type1
cash-in	39284	29925	274171	10-07-2019 10:07	1	type1
cash-in	39284	61097	274172	04-03-2019 12:59	1	type1
cash-in	39284	13638	274172	01-06-2019 12:21	1	type1
cash-in	82688	77924	292038	31-05-2019 11:17	1	type1
cash-in	82688	91706	292038	27-02-2019 14:21	1	type1
cash-in	82688	87880	292038	31-03-2019 13:40	1	type1
cash-in	82688	18305	292038	31-05-2019 11:10	1	type1
cash-in	82688	74062	292038	05-05-2019 08:47	1	type1
cash-in	82688	83006	292038	23-05-2019 09:58	1	type1
cash-in	82688	39778	292038	30-05-2019 14:01	1	type1
cash-in	82688	32368	292038	20-04-2019 11:43	1	type1
cash-in	82688	12943	292038	12-03-2019 11:23	1	type1
cash-in	82688	67262	292038	13-04-2019 09:31	1	type1
cash-in	82688	48186	292038	05-06-2019 13:29	1	type1
cash-in	82688	6015	292038	30-06-2019 14:10	1	type1
cash-in	82688	34921	292038	11-04-2019 12:49	1	type1
cash-in	82688	28976	292038	29-04-2019 08:30	1	type1
cash-in	82688	16779	292038	09-06-2019 11:07	1	type1
cash-in	82688	88240	292038	28-02-2019 09:05	1	type1
cash-in	82688	4870	292038	09-04-2019 15:22	1	type1
cash-in	82688	32981	292038	14-07-2019 14:36	1	type1
cash-in	82688	75676	292038	29-03-2019 08:30	1	type1
cash-in	82688	69388	292038	08-04-2019 12:36	1	type1
cash-in	82688	97318	292038	11-04-2019 11:33	1	type1
cash-in	82688	42411	292039	04-04-2019 10:15	1	type1
cash-in	82688	13222	292039	08-06-2019 08:56	1	type1
cash-in	82688	99496	292039	30-04-2019 14:52	1	type1
cash-in	82688	1932	292039	25-03-2019 13:28	1	type1
cash-in	30965	80135	398394	27-03-2019 11:40	1	type1
cash-in	30965	88488	398394	06-06-2019 09:03	1	type1
cash-in	30965	57075	398394	15-06-2019 11:46	1	type1
cash-in	30965	40167	398394	26-03-2019 11:36	1	type1
cash-in	30965	24981	398394	24-02-2019 13:54	1	type1
cash-in	30965	57149	398394	01-06-2019 10:16	1	type1
cash-in	30965	14030	398394	28-05-2019 14:26	1	type1
cash-in	30965	45553	398394	18-06-2019 11:01	1	type1
cash-in	30965	80750	398394	09-05-2019 11:35	1	type1
cash-in	30965	49600	398394	26-05-2019 12:00	1	type1
cash-in	30965	93262	398394	06-04-2019 11:52	1	type1
cash-in	30965	25307	398394	14-04-2019 12:31	1	type1
cash-in	30965	63112	398394	23-04-2019 12:41	1	type1
cash-in	30965	14080	398394	19-04-2019 13:14	1	type1
cash-in	30965	95733	398394	02-06-2019 12:03	1	type1
cash-in	30965	63228	398394	01-05-2019 14:14	1	type1
cash-in	30965	4845	398394	07-07-2019 08:14	1	type1
cash-in	30965	45785	398395	02-07-2019 09:50	1	type1
cash-in	30965	74470	398395	05-07-2019 10:15	1	type1
cash-in	30965	32822	398395	20-06-2019 13:29	1	type1
cash-in	30965	23309	398395	10-03-2019 15:42	1	type1
cash-in	72032	68884	391866	16-06-2019 13:47	1	type1
cash-in	72032	35234	391866	30-04-2019 10:05	1	type1
cash-in	72032	44712	391866	01-05-2019 08:56	1	type1
cash-in	72032	21863	391867	12-06-2019 14:25	1	type1
cash-in	72032	30284	391867	14-04-2019 12:17	1	type1
cash-in	72032	68776	391867	20-04-2019 10:38	1	type1
cash-in	72032	77528	391867	19-06-2019 15:56	1	type1
cash-in	72032	13268	391867	20-07-2019 13:12	1	type1
cash-in	72032	12595	391867	07-04-2019 11:56	1	type1
cash-in	72032	27847	391867	11-06-2019 09:38	1	type1
cash-in	72032	15477	391867	23-03-2019 10:22	1	type1
cash-in	72032	57885	391867	23-02-2019 09:56	1	type1
cash-in	72032	76683	391867	24-02-2019 10:40	1	type1
cash-in	72032	45427	391867	05-03-2019 13:32	1	type1
cash-in	72032	92818	391867	22-02-2019 11:21	1	type1
cash-in	72032	49478	391867	13-06-2019 14:46	1	type1
cash-in	72032	67354	391867	13-05-2019 15:16	1	type1
cash-in	72032	44038	391867	20-03-2019 08:23	1	type1
cash-in	72032	31247	391867	18-05-2019 15:35	1	type1
cash-in	72032	82095	391867	25-06-2019 10:49	1	type1
cash-in	72032	63396	391867	08-05-2019 09:22	1	type1
cash-in	24041	96977	322413	03-03-2019 12:37	1	type1
cash-in	24041	33426	322413	02-04-2019 08:53	1	type1
cash-in	24041	46541	322413	10-07-2019 13:44	1	type1
cash-in	24041	23893	322413	28-04-2019 13:26	1	type1
cash-in	24041	86853	322413	05-04-2019 12:11	1	type1
cash-in	24041	45493	322413	25-02-2019 08:14	1	type1
cash-in	24041	33601	322413	09-03-2019 11:02	1	type1
cash-in	24041	16524	322413	30-04-2019 08:56	1	type1
cash-in	24041	56913	322413	21-04-2019 08:02	1	type1
cash-in	24041	36891	322413	04-04-2019 10:36	1	type1
cash-in	24041	18626	322413	16-06-2019 12:39	1	type1
cash-in	24041	1666	322413	18-04-2019 09:55	1	type1
cash-in	24041	34756	322413	25-06-2019 11:31	1	type1
cash-in	24041	66669	322413	30-03-2019 10:14	1	type1
cash-in	24041	55422	322413	13-07-2019 08:32	1	type1
cash-in	24041	39060	322413	26-02-2019 14:51	1	type1
cash-in	24041	88176	322413	06-06-2019 10:39	1	type1
cash-in	24041	21197	322413	20-05-2019 10:43	1	type1
cash-in	24041	92217	322414	08-04-2019 08:26	1	type1
cash-in	24041	39661	322414	23-05-2019 09:37	1	type1
cash-in	24041	56984	322414	20-03-2019 08:02	1	type1
cash-in	24041	9570	322414	10-03-2019 11:16	1	type1
cash-in	24041	49937	322414	11-04-2019 09:23	1	type1
cash-in	82410	59581	713808	25-05-2019 11:41	1	type1
cash-in	82410	21955	713809	05-03-2019 11:52	1	type1
cash-in	82410	15915	713809	17-06-2019 11:46	1	type1
cash-in	82410	94012	713809	05-07-2019 12:23	1	type1
cash-in	82410	25362	713809	10-06-2019 10:57	1	type1
cash-in	82410	27412	713809	15-04-2019 15:30	1	type1
cash-in	82410	79849	713809	20-04-2019 13:09	1	type1
cash-in	82410	26063	713809	05-05-2019 08:32	1	type1
cash-in	82410	77984	713809	04-05-2019 10:08	1	type1
cash-in	82410	41940	713809	27-02-2019 14:20	1	type1
cash-in	82410	88645	713809	18-03-2019 10:03	1	type1
cash-in	82410	87881	713809	23-02-2019 14:43	1	type1
cash-in	24441	12242	2954186	15-07-2019 14:39	1	type1
cash-in	24441	23236	2954186	31-03-2019 09:19	1	type1
cash-in	24441	94201	2954186	20-04-2019 15:25	1	type1
cash-in	43439	91672	502828	12-05-2019 08:49	1	type1
cash-in	43439	36605	502828	05-07-2019 13:05	1	type1
cash-in	43439	82179	502828	13-03-2019 13:56	1	type1
cash-in	43439	12117	502828	05-07-2019 15:19	1	type1
cash-in	43439	53631	502828	17-06-2019 13:58	1	type1
cash-in	43439	48679	502828	06-07-2019 14:15	1	type1
cash-in	43439	13115	502828	27-02-2019 08:18	1	type1
cash-in	43439	63955	502828	14-03-2019 08:13	1	type1
cash-in	43439	16638	502828	02-04-2019 08:35	1	type1
cash-in	43439	46827	502828	20-05-2019 11:02	1	type1
cash-in	43439	46060	502828	16-06-2019 11:05	1	type1
cash-in	43439	60266	502828	11-03-2019 10:29	1	type1
cash-in	43439	5029	502828	05-03-2019 09:32	1	type1
cash-in	43439	62290	502828	13-07-2019 10:57	1	type1
cash-in	43439	89414	502828	08-04-2019 15:25	1	type1
cash-in	43439	94137	502828	04-04-2019 15:36	1	type1
cash-in	43439	58551	502828	28-03-2019 11:29	1	type1
cash-in	43439	71167	502828	20-07-2019 08:52	1	type1
cash-in	69208	42692	372321	05-07-2019 14:17	1	type1
cash-in	69208	54010	372321	12-06-2019 08:40	1	type1
cash-in	69208	44409	372321	21-03-2019 11:36	1	type1
cash-in	69208	94632	372321	28-04-2019 15:59	1	type1
cash-in	69208	51747	372321	20-04-2019 09:29	1	type1
cash-in	69208	21453	372321	02-07-2019 12:59	1	type1
cash-in	69208	42627	372321	01-04-2019 08:20	1	type1
cash-in	69208	97637	372321	03-03-2019 09:51	1	type1
cash-in	69208	66062	372321	15-03-2019 09:08	1	type1
cash-in	69208	71259	372321	02-05-2019 11:48	1	type1
cash-in	69208	55007	372321	11-03-2019 12:28	1	type1
cash-in	69208	62050	372321	02-07-2019 09:01	1	type1
cash-in	69208	23494	372321	21-02-2019 15:02	1	type1
cash-in	69208	38720	372321	30-05-2019 08:05	1	type1
cash-in	69208	24349	372321	14-04-2019 15:30	1	type1
cash-in	69208	7654	372321	03-06-2019 11:52	1	type1
cash-in	69208	85699	372321	20-07-2019 09:32	1	type1
cash-in	69208	98036	372321	13-03-2019 09:26	1	type1
cash-in	69208	32455	372321	26-02-2019 13:00	1	type1
cash-in	69208	91032	372321	28-06-2019 11:23	1	type1
cash-in	69208	6897	372321	11-05-2019 08:11	1	type1
cash-in	69208	51077	372321	12-06-2019 13:48	1	type1
cash-in	69208	13633	372321	05-07-2019 10:44	1	type1
cash-in	69208	48273	372322	16-06-2019 08:31	1	type1
cash-in	71475	10234	1002226	09-03-2019 14:44	1	type1
cash-in	71475	75572	1002226	26-04-2019 08:32	1	type1
cash-in	71475	50788	1002226	04-04-2019 14:20	1	type1
cash-in	71475	8847	1002226	03-05-2019 11:51	1	type1
cash-in	71475	34483	1002227	15-05-2019 13:29	1	type1
cash-in	71475	72492	1002227	22-02-2019 15:30	1	type1
cash-in	71475	54332	1002227	29-04-2019 08:22	1	type1
cash-in	75076	30252	420044	28-03-2019 12:37	1	type1
cash-in	75076	50080	420044	02-05-2019 14:27	1	type1
cash-in	75076	98057	420044	11-07-2019 09:29	1	type1
cash-in	75076	30180	420044	17-07-2019 15:43	1	type1
cash-in	75076	92527	420044	25-03-2019 10:47	1	type1
cash-in	75076	24618	420044	09-07-2019 13:48	1	type1
cash-in	75076	6644	420044	09-06-2019 11:51	1	type1
cash-in	75076	24841	420044	16-07-2019 10:33	1	type1
cash-in	75076	20067	420044	13-04-2019 14:49	1	type1
cash-in	75076	6646	420044	20-05-2019 15:04	1	type1
cash-in	75076	90581	420044	18-05-2019 14:48	1	type1
cash-in	75076	50112	420044	23-05-2019 08:02	1	type1
cash-in	75076	75668	420044	12-05-2019 12:47	1	type1
cash-in	75076	66439	420044	18-04-2019 14:58	1	type1
cash-in	75076	16595	420044	06-07-2019 08:43	1	type1
cash-in	75076	71373	420045	19-03-2019 08:35	1	type1
cash-in	75076	49051	420045	30-04-2019 10:53	1	type1
cash-in	75076	34544	420045	21-02-2019 08:23	1	type1
cash-in	75076	1512	420045	07-07-2019 15:39	1	type1
cash-in	82930	82726	779884	01-04-2019 12:23	1	type1
cash-in	82930	72794	779884	22-03-2019 14:42	1	type1
cash-in	82930	43090	779884	16-05-2019 12:35	1	type1
cash-in	82930	16422	779884	15-05-2019 15:58	1	type1
cash-in	82930	85116	779884	08-04-2019 12:03	1	type1
cash-in	82930	83961	779884	26-03-2019 13:41	1	type1
cash-in	82930	29156	779884	05-03-2019 10:46	1	type1
cash-in	82930	89577	779884	12-07-2019 10:17	1	type1
cash-in	82930	45031	779884	12-03-2019 08:45	1	type1
cash-in	82930	67096	779885	23-06-2019 12:50	1	type1
cash-in	13919	53522	323248	13-07-2019 15:41	1	type1
cash-in	13919	61430	323248	01-07-2019 12:48	1	type1
cash-in	13919	33512	323248	05-07-2019 13:33	1	type1
cash-in	13919	45513	323248	18-05-2019 14:37	1	type1
cash-in	13919	90767	323248	28-04-2019 08:49	1	type1
cash-in	13919	11846	323248	06-04-2019 08:44	1	type1
cash-in	13919	25667	323248	14-07-2019 09:30	1	type1
cash-in	13919	27636	323248	03-05-2019 08:56	1	type1
cash-in	13919	63975	323248	25-05-2019 10:16	1	type1
cash-in	13919	50139	323248	22-05-2019 08:25	1	type1
cash-in	13919	86945	323248	24-03-2019 12:32	1	type1
cash-in	13919	87092	323248	16-04-2019 14:33	1	type1
cash-in	13919	68015	323248	27-03-2019 12:41	1	type1
cash-in	13919	79614	323248	09-04-2019 15:24	1	type1
cash-in	13919	31440	323248	14-05-2019 08:03	1	type1
cash-in	13919	57534	323248	28-04-2019 14:12	1	type1
cash-in	13919	26472	323248	24-02-2019 12:33	1	type1
cash-in	13919	6984	323248	04-04-2019 09:07	1	type1
cash-in	13919	33911	323248	03-05-2019 09:20	1	type1
cash-in	13919	44716	323248	16-03-2019 15:52	1	type1
cash-in	13919	57919	323248	29-04-2019 10:50	1	type1
cash-in	13919	95350	323248	23-05-2019 13:39	1	type1
cash-in	13919	95241	323248	25-04-2019 13:29	1	type1
cash-in	13919	59719	323249	05-07-2019 08:52	1	type1
transfer	42454	32893	7270189	25-02-2019 11:50	1	type2
transfer	32893	30530	7270189	12-03-2019 11:43	1	type2
transfer	30530	36647	7270189	17-03-2019 10:25	1	type2
transfer	36647	64269	7270189	29-05-2019 10:06	1	type2
transfer	64269	48051	7270189	31-05-2019 09:00	1	type2
transfer	48051	1970	7270189	16-07-2019 12:45	1	type2
transfer	44881	76348	5983503	06-03-2019 14:51	1	type2
transfer	76348	96871	5983503	21-03-2019 13:42	1	type2
transfer	96871	70897	5983503	10-04-2019 12:57	1	type2
transfer	70897	98417	5983503	16-04-2019 13:05	1	type2
transfer	98417	77678	5983503	25-04-2019 15:30	1	type2
transfer	77678	98047	5983503	26-05-2019 15:13	1	type2
transfer	98047	60563	5983503	05-06-2019 08:27	1	type2
transfer	60563	414	5983503	15-07-2019 11:12	1	type2
transfer	414	84965	5983503	19-07-2019 15:36	1	type2
transfer	58314	96855	6944610	26-02-2019 15:23	1	type2
transfer	96855	92885	6944610	27-02-2019 14:59	1	type2
transfer	92885	85539	6944610	06-03-2019 10:23	1	type2
transfer	85539	74228	6944610	26-03-2019 11:38	1	type2
transfer	74228	35778	6944610	02-04-2019 14:36	1	type2
transfer	35778	66713	6944610	08-04-2019 14:16	1	type2
transfer	66713	8567	6944610	12-04-2019 13:13	1	type2
transfer	8567	87555	6944610	19-04-2019 08:32	1	type2
transfer	87555	91021	6944610	19-04-2019 10:40	1	type2
transfer	91021	59712	6944610	21-04-2019 11:27	1	type2
transfer	59712	33274	6944610	23-04-2019 15:22	1	type2
transfer	33274	95242	6944610	07-05-2019 09:37	1	type2
transfer	95242	70731	6944610	09-05-2019 15:17	1	type2
transfer	70731	41780	6944610	10-05-2019 11:49	1	type2
transfer	41780	35225	6944610	15-05-2019 12:07	1	type2
transfer	35225	47114	6944610	21-05-2019 11:51	1	type2
transfer	47114	13272	6944610	25-05-2019 10:01	1	type2
transfer	13272	5645	6944610	31-05-2019 08:52	1	type2
transfer	5645	70436	6944610	05-06-2019 10:40	1	type2
transfer	70436	2802	6944610	05-06-2019 15:30	1	type2
transfer	2802	87433	6944610	13-06-2019 13:45	1	type2
transfer	87433	90992	6944610	28-06-2019 15:42	1	type2
transfer	90992	4943	6944610	05-07-2019 12:15	1	type2
transfer	83481	18652	7259213	24-02-2019 12:54	1	type2
transfer	18652	46559	7259213	05-03-2019 13:05	1	type2
